Name,Seconds,Timecode 60fps,Frame
"X thrown in",0.017,00:00:00:01,1
"★ LANDING — the X hits",0.577,00:00:00:35,35
"light pass",0.577,00:00:00:35,35
"wordmark glyph 1",0.957,00:00:00:57,57
"wordmark glyph 2",1.041,00:00:01:02,62
"wordmark glyph 3",1.125,00:00:01:08,68
"wordmark glyph 4",1.209,00:00:01:13,73
"wordmark glyph 5",1.293,00:00:01:18,78
"wordmark glyph 6",1.377,00:00:01:23,83
"lockup glows",2.177,00:00:02:11,131
"ident recedes",2.717,00:00:02:43,163
"beat 0",3.687,00:00:03:41,221
"beat 1",5.885,00:00:05:53,353
"beat 2",8.279,00:00:08:17,497
"beat 3",10.869,00:00:10:52,652
"beat 4",13.753,00:00:13:45,825
"loop starts assembling",17.049,00:00:17:03,1023
"ring arc sets off",17.981,00:00:17:59,1079
"station 0",17.981,00:00:17:59,1079
"station 1",18.153,00:00:18:09,1089
"station 2",18.325,00:00:18:19,1100
"station 3",18.497,00:00:18:30,1110
"station 4",18.669,00:00:18:40,1120
"station 5",18.841,00:00:18:50,1130
"★ RING CLOSES — drop point",19.013,00:00:19:01,1141
"light pass",19.253,00:00:19:15,1155
"value line 1",19.973,00:00:19:58,1198
"value line 2",20.203,00:00:20:12,1212
"loop out",21.823,00:00:21:49,1309
"catch phrase starts typing",22.843,00:00:22:51,1371
"★ THE MARK — final drop",26.638,00:00:26:38,1598
"mark breathes",27.458,00:00:27:27,1647
"mark breathes",28.378,00:00:28:23,1703
"end of picture",29.278,00:00:29:17,1757
